method,n,add_mean,add_median,add_std,add_q1,add_q3,add_iqr,add_s_mean,add_s_median,add_s_std,add_s_q1,add_s_q3,add_s_iqr,rot_mean,rot_median,rot_std,rot_q1,rot_q3,rot_iqr,trans_mean,trans_median,trans_std,trans_q1,trans_q3,trans_iqr,time_mean,time_median,time_std,time_q1,time_q3,time_iqr,add_success,add_s_success
baseline,54,0.017227787467197102,0.0058307663877902195,0.02704722875606574,0.004731266929208696,0.013239789658805182,0.008508522729596487,0.003841838234895052,0.002264755833729193,0.006558334216001601,0.0018790218160285913,0.0033820506650215827,0.0015030288489929914,30.950515753092937,7.325600657986325,49.22465113112368,4.829291061147856,16.353749189474485,11.524458128326629,0.020115186645461212,0.009999649397831652,0.0428824448926507,0.004607377228527077,0.01719215392845709,0.012584776699930014,833.622717851852,872.0245723499999,118.02990467469543,805.9599097249993,900.9318139999999,94.97190427500061,0.8148148148148148,0.9814814814814815
no_pose,54,0.01337667690936688,0.0064039175141195614,0.02089873068173936,0.004919094707389486,0.00878916300396506,0.003870068296575574,0.0032337847828793763,0.002499770846321796,0.003024866256172854,0.002163991638892063,0.0034353643019565065,0.0012713726630644434,23.298470098316105,7.422630758999301,43.13053169740547,4.648853070088384,10.551425424141463,5.9025723540530795,0.014632535759000313,0.008096348746903983,0.0254996272880125,0.004391803819907014,0.014762432939004843,0.010370629119097828,30.452944435184758,30.50306339999952,5.030331613651937,27.369306525002685,32.89019504999669,5.520888524994007,0.8703703703703703,0.9814814814814815
no_robust,54,0.005102266440251955,0.0014537069528989086,0.010925490614360324,0.0010769459123826934,0.0031390506492375175,0.002062104736854824,0.0010817906082411202,0.0008302121233804073,0.000596649923227339,0.0007132008678676288,0.0012517251675721673,0.0005385242997045385,11.219203117376159,1.8087245616172196,31.485651432186263,0.9378857708419482,3.352703105674757,2.414817334832809,0.003439357614534767,0.002111984525796224,0.00466527177475329,0.0009947957140253889,0.0033828173451316184,0.0023880216311062295,615.9674725962965,7.395592150000084,3101.612877613305,6.855103700003383,8.261782025003413,1.4066783250000299,0.9259259259259259,1.0
no_rsmrq,54,0.005911068365621447,0.002166715046951961,0.010914692621978554,0.001187625762746432,0.00388162173503243,0.0026939959722859976,0.0013088680292359259,0.0010602782414248601,0.0009949900193054384,0.0007671117958872757,0.0014056441072705693,0.0006385323113832936,11.997644859584252,3.153721521956205,30.366041932764492,1.057723235631539,5.867491476661899,4.80976824103036,0.004864859561345785,0.002228296914402084,0.00686228958596128,0.0010367202287032288,0.004370564492189962,0.003333844263486733,4.027714324074016,4.094472099999621,0.44030751146276814,3.664502549998815,4.330497674999151,0.665995125000336,0.9074074074074074,1.0
ours,54,0.005050490508524345,0.0014537069528989244,0.010924145475373452,0.0010769459123827086,0.003139050649237551,0.0020621047368548423,0.001065027249907946,0.000830212123380398,0.0005775075768712848,0.0007132008678676168,0.001251725167572133,0.0005385242997045162,11.226127684557515,1.8087245616168333,31.484039467754588,0.937885770842132,3.4664844879116576,2.5285987170695257,0.0033405111894221594,0.001983534851573733,0.0046734821598854795,0.0008985174941671853,0.003336365939130408,0.002437848444963223,26.77001436296255,26.58588084999974,4.805437265117687,22.39555229999769,31.269356824998795,8.873804525001106,0.9259259259259259,1.0
